T = 20.552627986348124Ohm
wavelength (nm)	Intesity (arb)
400	975252.1289687679
500	1400337.6590463072
600	1387284.1972493785
700	1372466.959657062
800	1107640.8052835856
900	921585.1077138114
1000	763172.1973992724
1100	647320.1250561615
1200	496253.6540961427
1300	396580.9026452092
1400	315519.63579701784
1500	265149.0933884727
1600	225982.18955606388
1700	181337.17460726548
1800	147634.1686754271
1900	117749.00531031124
2000	99299.44918487608
2100	82663.50549632232
2200	72718.73662727339
2300	60761.4079042999
2400	51500.65841604308
2500	42261.99607176047
