T = 2000K
wavelength (nm)	Intesity (arb)
400	20.35313185413445
500	238.29031527070083
600	1083.719916728286
700	2770.8783605751028
800	5242.300295001387
900	7646.869599138541
1000	10450.031515018447
1100	12149.485664775819
1200	13183.997829962951
1300	14651.381128146597
1400	14671.294871676297
1500	14533.837973839753
1600	14653.856070607351
1700	14044.938733131867
1800	13078.84553753625
1900	12459.775182539915
2000	11733.713436417514
2100	10614.380455918434
2200	10198.129072754076
2300	9218.373561859233
2400	8560.109804135893
2500	7950.008095455163
